Id,Handler,Country,CallName,RegisteredName,SizeCategory,Slug
5464,Aanor Astore,FRA,,Sonic Des Guerriers D’orthos Sonic,L,aanor-astore
1136,Aanor Astore,FRA,Stark,,M,aanor-astore-stark
2649,Abby Zerm,USA,,Tribals Mind Your Manners,L,abby-zerm
3227,Abby Zerm,USA,,ITS Coming In Hot,M,abby-zerm-3
3044,Abby Zerm,USA,,Apex Black Lightning,S,abby-zerm-2
7730,Abigail Beasley,USA,,Apex Dream Impossible Things,S,abigail-beasley
7308,Abigail Beasley,USA,Superstar,,S,abigail-beasley-superstar
3858,Abigail Beasley,USA,Swindle,Trinity Run Like You Stole It Mxs Mjs Pjd Of Cgc (Swindle),M,abigail-beasley-swindle
6856,Abigail Laspina,USA,Sky,,M,abigail-laspina-sky
2140,Abigail Radomski,USA,,Spark Of Joy,L,abigail-radomski
5735,Abrahams Emily,AUS,Journey,,L,abrahams-emily-journey
4917,Ac André,DNK,Cactus,,S,ac-andre-cactus
4716,Ac André,DNK,Tequila,,S,ac-andre-tequila
5370,Ács-Kövesi Ágnes,HUN,Wetu,Wings For Run Wetu,L,acs-kovesi-agnes-wetu
2661,Ada Osińska,POL,Bajka from Land of Milk,Bajka from Land of Milk and Honey,L,ada-osinska
460,Ada Osińska,POL,Fila,,L,ada-osinska-fila
796,Ádám József,HUN,Áfi,Áfonya of the Sporty Heroes,I,adam-jozsef-afi
873,Ádám Katalin,HUN,Vendi,Bariguard Kombat Ashrah,L,adam-katalin-vendi
8147,Adam Ščibrány,SVK,NALA,"Ariane Boutellier-Nala ""Nala""",I,adam-scibrany-nala
7315,Adam Watson,GBR,Cooper,,S,adam-watson-cooper
5519,Ádám-Bökényi Bernadett,AUS,Bow,Rainbow of the Sporty Heroes,I,adam-bokenyi-bernadett-bow
805,Ádám-Bökényi Bernadett,AUS,Mí,Bellamie aus dem Bergischen,I,adam-bokenyi-bernadett-mi
852,Ádám-Bökényi Bernadett,AUS,Osis,Choose Ferencik,L,adam-bokenyi-bernadett-osis
6758,Addison Connolly,USA,Cooper,,L,addison-connolly-cooper
5013,Adéla Benešová,CZE,Fresh,,L,adela-benesova-fresh
2239,Adéla Čejková,,,Discovery Černý Křišťál,M,adela-cejkova
2468,Adela Dorniaková,SVK,,Blaze Bellis Hope,I,adela-dorniakova
1709,Adela Dorniaková,SVK,Zee,Blaze Bellis Hope (Zee),I,adela-dorniakova-zee
8400,Adéla Hasalová,,Casey,Casey,I,adela-hasalova-casey
6502,Adéla Havlíčkova,CZE,,My Magic Go N Try,M,adela-havlickova
8379,Adéla Havlíčkova,CZE,Katsuo,Go N Try My Magic,M,adela-havlickova-katsuo
417,Adéla Havlíčkova,CZE,Nisa,,I,adela-havlickova-nisa
806,Adéla Havlíčkova,CZE,Nisa,Petit Jerloust of My Queen,I,adela-havlickova-nilsa
2302,Adéla Havlíková,CZE,,Porsche von Schnappi Schnapp,S,adela-havlikova
2309,Adéla Havlíková,CZE,,Hurry Up Z Vejřího hnízda,S,adela-havlikova-2
3962,Adéla Havlíková,CZE,Haiti,Hurry Up Z Vejřího Hnízda (Haiti),S,adela-havlikova-haiti
2075,Adela Hoňková,,,Aero Rodeo z Ranche na Hranici,I,adela-honkova
5286,Adela Karbusova,CZE,Bite,A Little Bit Psycho Arjenchi Bite,L,adela-karbusova-bite
6445,Adéla Klepalová,CZE,,A`Gut Shot Azillion,L,adela-klepalova
7554,Adéla Klepalová,CZE,Thessaloniki,,L,adela-klepalova-thessaloniki
6427,Adéla Kubišová,,Akim,,I,adela-kubisova-akim
6210,Adéla Maršálková,CZE,,Good Wine z Vejřího hnízda Víno,M,adela-marsalkova
899,Adéla Maršálková,CZE,Good Wine z Vejřího hnízda,Good Wine z Vejřího hnízda,M,adela-marsalkova-good-wine-z-vejriho-hnizda
6153,Adéla Maršálková,CZE,Jessi,Jessi Jessi,L,adela-marsalkova-jessi
917,Adéla Maršálková,CZE,Míša,Míša,M,adela-marsalkova-misa
2027,Adéla Maršálková,CZE,Víno,"Good Wine z Vejřího hnízda ""Víno""",M,adela-marsalkova-vino
872,Adéla Oberleitnerová,CZE,Pulz,Btw I’m Pulz Full of Rush,L,adela-oberleitnerova-pulzi
8307,Adela Rehola,CZE,Lixi,,M,adela-rehola-lixi
6494,Adéla Řeholová,CZE,,Cerunnos Walk Free,M,adela-reholova
6512,Adéla Řeholová,CZE,,Calibre Fort Fox,M,adela-reholova-2
8477,Adéla Řeholová,CZE,Cína,,M,adela-reholova-cina
8291,Adéla Řeholová,CZE,Cínka,,M,adela-reholova-cinka
8480,Adéla Řeholová,CZE,Lixi,,M,adela-reholova-lixi
2973,Adéla Šaling,CZE,Berta,Berta z Kojca Coli,S,adela-saling
8191,Adela Szabová,SVK,Zazu,Never Seen Before Christopher Smith (Zazu),L,adela-szabova-zazu
7368,Adelaine Bastiaansen,FIN,,Speed up the Limit Time for Trouble,I,adelaine-bastiaansen
6243,Adelaine Bastiaansen,FIN,Apple,,I,adelaine-bastiaansen-apple
5460,Adoración Morales Moreno,ITA,,Quma De Shusuen De Kish Horus,L,adoracion-morales-moreno
1073,Adoración Morales Moreno,ITA,Nut,,L,adoracion-morales-moreno-nut
1128,Adoración Morales Moreno,ITA,Surprise,,L,adoracion-morales-moreno-surprise
3635,Adrian Bajo,ESP,Dive,Liv Petit Jerloust Of My Queen,I,adrian-bajo-dive
3781,Adrian Bajo,ESP,Gif,Redefined Action Gif (Gif),L,adrian-bajo-gif
6538,Adrián Botka,SVK,,NRebelona Diabla z koloru,S,adrian-botka-2
2303,Adrián Botka,SVK,Nymeria,Rebelona Diabla z Koloru,S,adrian-botka
7334,Adrián Granda Rodríguez,ESP,Menta,,S,adrian-granda-rodriguez-menta
5465,Adrián Pérez Paleu,ESP,Quenlla Quenlla,,L,adrian-perez-paleu-quenlla
2947,Adrian Thomay,SVK,,Jaize Fatranský sen,S,adrian-thomay
6227,Adrian Thomay,SVK,Jaize Molly,,S,adrian-thomay-jaize-molly
2242,Adriana Dubinova,SVK,Lara,Lara (Lara),M,adriana-dubinova-lara
