rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
1,Iwona Golab,SeeYa,Never Never Land Sayonara,Intermediate,POL,34.8865,1.5,2215.5,Elite,false,62,Polish Open 2026 (IN & L)
2,Svetlana  Kreslina,Flyland Unstoppable,Flyland Nothing s Impossible,Intermediate,LVA,33.0045,1.5,2140.2,Elite,false,37,AWC 2025
3,Gerda Zemaityte,Lee,,Intermediate,LTU,32.0736,1.5,2102.9,Elite,false,36,Polish Open 2026 (IN & L)
4,Jan Fiala,Kirlie Mawlch,,Intermediate,HRV,32.9995,2.3111,2042.6,Elite,false,25,Prague Agility Party 2025
5,Ariane Wieber,Zola,Keen Workers Addicted to Zola,Intermediate,NOR,32.6409,2.2064,2040.9,Elite,false,26,AWC 2025
6,Eiffes Andy,Bee,Bee My Baby Gold'N Rebeits,Intermediate,LUX,31.6095,1.8868,2038.0,Elite,false,29,Polish Open 2026 (IN & L)
7,Andy De Groote,Deeks,GO FOR DEEKS BOHEMIA GRANT BOHEMIA GRANT,Intermediate,BEL,31.5476,1.894,2034.6,Elite,false,29,Prague Agility Party 2025
8,Lenka Sack,Theika,A3Ch Theika Irhaberki,Intermediate,CZE,29.9412,1.5,2017.6,Elite,false,46,Polish Open 2026 (IN & L)
9,Roman Maruszczak,Reksio,Crazy Barking Monsters Solar Storm,Intermediate,POL,29.7818,1.5,2011.3,Elite,false,38,Polish Open 2026 (IN & L)
10,Christina Paulik,Happy,Happy Sigrid Petit Jerloust of my Queen,Intermediate,AUT,29.711,1.5,2008.4,Elite,false,56,Polish Open 2026 (IN & L)
11,Jan Fiala,Knedlee Czech,,Intermediate,CZE,29.329,1.5,1993.2,Elite,false,43,Polish Open 2026 (IN & L)
12,Sandra Langer,Las Vegas,Vegas Fireworkhill Las Vegas,Intermediate,AUT,29.2911,1.5,1991.6,Elite,false,46,Prague Agility Party 2025
13,Nataliia Denysenko,Astrid,,Intermediate,UKR,29.1757,1.5,1987.0,Elite,false,36,Polish Open SOFT 2025 (IN & L)
14,Jakub Diviš,Cis,A3Ch Finrod Frances Wonderfull Dream,Intermediate,CZE,29.1372,1.5,1985.5,Elite,false,90,Polish Open 2026 (IN & L)
15,Christiane Fischbach,Salt,,Intermediate,DEU,30.1951,1.8833,1981.8,Elite,false,29,Polish Open 2026 (IN & L)
16,Paulina Duda,Free,Never Never Land E’Anka,Intermediate,POL,28.8691,1.5,1974.8,Elite,false,42,Polish Open 2025 (IN & L)
17,Dana Mixová,Valerie,Valerie Shadow of Aire Valerie,Intermediate,CZE,28.8279,1.5,1973.1,Elite,false,53,Polish Open 2026 (IN & L)
18,Gianluca Schingaro,,Supergirl dei Matiblu Moss,Intermediate,ITA,33.1161,2.9643,1968.9,Champion,false,20,Slovenian Open 2025
19,Karel Kurc,Rallye,A3Ch Cool Rallye Te Salutant,Intermediate,CZE,29.129,1.7059,1960.5,Champion,false,31,AWC 2025
20,Agneta Milikauskaitė,Hulu,Catch Your Dream From Valachian Highlands,Intermediate,LTU,28.4211,1.5,1956.8,Champion,false,36,Polish Open SOFT 2025 (IN & L)
21,Fabrizio Cantatore,Emma,EMMA OF CRAZY SISSY'S HOME,Intermediate,ITA,29.3154,1.986,1934.3,Champion,false,28,EO 2025
22,Matteo Savini,,ON MY HEART IN THE STAR,Intermediate,ITA,28.6633,1.7929,1931.4,Champion,false,30,Austrian Agility Open 2025
23,Ola Kłobukowska,Yuca,,Intermediate,POL,28.3814,1.7973,1919.6,Champion,false,30,Polish Open 2025 (IN & L)
24,Sára Simandlová,Dakota,Btw I’m Dakota Full of rush,Intermediate,CZE,27.0265,1.5,1901.1,Champion,false,62,Polish Open 2026 (IN & L)
25,Magdalena Wasiukiewicz,Dumka,Spiffing Wit Dazzling Doom,Intermediate,POL,28.2726,2.0892,1880.2,Champion,false,27,AWC 2025
26,Kateřina Burdová,Drive,Drive Wanderers of Saint Wendelin,Intermediate,CZE,28.2417,2.0924,1878.6,Champion,false,27,Polish Open 2026 (IN & L)
27,Veronika Kolmanová,Vaiana,Vaiana D1 Next Alkyra,Intermediate,CZE,26.4484,1.5,1877.9,Champion,false,35,Polish Open 2026 (IN & L)
28,Matej Čuček,Ninja,Shadow of Aire Under Pressure Ninja,Intermediate,SVN,26.0024,1.5428,1855.0,Champion,false,33,AWC 2025
29,Marjo Korander,Flow,EMPIRE OF FIRE ALWAYS GO WITH FLOW,Intermediate,,30.2974,2.9902,1853.1,Champion,false,20,Midsummer Dog Sports Festival 2025
30,Claudia Tieber,Ashly,Sam‘s Motley Crew Belas awesome Ashly Ashly,Intermediate,AUT,27.1025,2.0778,1834.8,Champion,false,27,EO 2025
31,Lucie Krejčí,Tori,,Intermediate,CZE,26.9411,2.0921,1826.6,Champion,false,27,Polish Open 2025 (IN & L)
32,Paulik Helmut,,Gchiquita Banana of Austrian Diamonds,Intermediate,AUT,26.027,1.7889,1826.4,Champion,false,30,AWC 2025
33,Justin Schiel,Joy,Enjoy the Silence Agilepaws,Intermediate,DEU,27.9298,2.4328,1825.3,Champion,false,24,Polish Open 2026 (IN & L)
34,Jens Heitmann,Cliff,Shadow of Aire Bright Cliff,Intermediate,AUT,30.3781,3.2814,1821.4,Champion,false,18,Polish Open 2026 (IN & L)
35,Ivana Sipalova,Zozó,BLACK RIVER KENNEL ZODIAC,Intermediate,ITA,29.8797,3.1403,1818.4,Champion,false,19,EO 2025
36,Gartler-Rappold Karin,Blue Shanell,Makaras Aussies Blue Shanell,Intermediate,AUT,26.9904,2.2018,1815.4,Champion,false,26,Prague Agility Party 2025
37,Barbora Novotná,Bibi,Bon Bibi Devětsil,Intermediate,CZE,24.8234,1.5,1812.9,Champion,false,52,Polish Open 2026 (IN & L)
38,Sabine Serwin,,Graceful border act like a Queen miss Casey (Little,Intermediate,DNK,31.7862,3.8506,1809.4,Champion,false,15,AWC 2025
39,Anke Mangelschots,Jill,Luna Tale Rising Star Jill,Intermediate,FIN,30.1148,3.3055,1807.9,Champion,false,18,AWC 2025
40,Jenny Naumanen,Armi,Mindpower all in Armi,Intermediate,FIN,26.1121,1.993,1805.3,Champion,false,28,Midsummer Dog Sports Festival 2025
41,Andy de Groote,Deac,Empire of Fire ( FCI ) Mistery Deac Empire of Fire,Intermediate,BEL,26.2914,2.0884,1801.0,Champion,false,27,Prague Agility Party 2025
42,Vera Neves,Mai,Non Dire Mai,Intermediate,PRT,30.3739,3.4779,1797.6,Champion,false,17,AWC 2025
43,Katariina Kuiro,Wendi,Melissa Andre Blooms,Intermediate,FIN,24.7232,1.629,1793.4,Champion,false,32,AWC 2025
44,Maija Anttolainen,Overdo Elite,,Intermediate,FIN,28.3226,2.8436,1791.7,Champion,false,21,AWC 2025
45,Manuela Piccin,KITTY PRIDE,,Intermediate,ITA,30.7609,3.6602,1791.2,Champion,false,16,Alpine Agility Open 2025
46,Ola Gronek,Heya,Once Again Heya My Queen,Intermediate,POL,29.1015,3.1115,1790.7,Champion,false,19,Polish Open 2025 (IN & L)
47,Veronika Dostalova,Dobby,Every Kingdom Super Welter,Intermediate,FRA,24.1832,1.5,1787.3,Champion,false,34,Moravia Open 2025
48,Claudia Tieber,Yara,Little Blue River’s Yara cheerful like Cato Yara,Intermediate,AUT,25.0564,1.7935,1787.0,Champion,false,30,EO 2025
49,Gruber Katharina,Wii,Nasgul Border's Grace,Intermediate,AUT,26.9501,2.4342,1785.9,Champion,false,24,EO 2025
50,Monika Kiho,,Along With You Moravian Dream,Intermediate,,26.2048,2.1998,1784.2,Champion,false,26,Moravia Open 2025
51,Katarzyna Michalak,Mizu,,Intermediate,POL,27.1652,2.5574,1779.7,Champion,false,23,Polish Open 2026 (IN & L)
52,Ádám-Bökényi Bernadett,Mí,Bellamie aus dem Bergischen,Intermediate,HUN,24.3369,1.6216,1778.9,Champion,false,32,AWC 2025
53,Marco Gschaider,Deep,Ruff'n'Tuff Dancing in the Dark Deep,Intermediate,AUT,23.8471,1.5,1773.9,Champion,false,53,Polish Open 2026 (IN & L)
54,Michał Ujma,Raisa,,Intermediate,POL,24.9454,1.8879,1771.3,Champion,false,29,Polish Open 2026 (IN & L)
55,Riina Kellman,,JOHAN ON KIKKAILIJA,Intermediate,FIN,26.4764,2.4396,1766.3,Champion,false,24,Moravia Open 2025
56,Monika Rylska,Koza,Beck's Hill Mafia Princess,Intermediate,POL,23.5892,1.5,1763.6,Champion,false,40,Polish Open SOFT 2025 (IN & L)
57,Kateryna Kovalenko,Totori,,Intermediate,UKR,25.1187,2.0887,1754.1,Champion,false,27,Polish Open 2026 (IN & L)
58,Christina Kuko,Punky,,Intermediate,DEU,26.0394,2.4166,1751.6,Champion,false,24,Polish Open 2026 (IN & L)
59,Nadezda Pavliucek,Gudini,,Intermediate,LTU,26.6725,2.6868,1744.5,Champion,false,22,Polish Open SOFT 2025 (IN & L)
60,Daša Zakotnik,Spin,"EMDOGS CALLSIGN SPIN ""Spin"" ""EMDOGS CALLSIGN SPIN ""Spin""""",Intermediate,SVN,24.4949,1.9681,1743.6,Champion,false,28,EO 2025
61,Elena Godio,Fanny,,Intermediate,ITA,29.4975,3.6382,1743.3,Champion,false,16,Alpine Agility Open 2025
62,Jacqueline Scannella,Quick,Indira from Azucena`s dream`s,Intermediate,DEU,29.5211,3.6523,1742.6,Champion,false,16,Prague Agility Party 2024
63,Kine Eimhjellen,Kos,Wicked Wonderland Allez Kos,Intermediate,NOR,26.5791,2.6984,1739.4,Champion,false,22,Norwegian Open 2025
64,Valentyna Riezanova,Jera,My Mad Dream Avada Kedavra Jera,Intermediate,UKR,22.965,1.5,1738.6,Champion,false,39,Polish Open 2026 (IN & L)
65,Krzysztof Marciniak,Sza-Luna,,Intermediate,POL,25.3893,2.3092,1738.5,Champion,false,25,Polish Open 2026 (IN & L)
66,Jennifer Kasper,Miley,"Mi Sombra's Miss Jackson ""Miley"" ""Mi Sombra's Miss Jackson ""Miley""""",Intermediate,AUT,22.9283,1.5,1737.1,Champion,false,36,Austrian Agility Open 2025
67,Federica Grilli,Gina,Nangamai jelly bean,Intermediate,ITA,23.2202,1.623,1734.0,Champion,false,32,AWC 2025
68,Zsolt Havasi,Bodza,Viharbanszületett (Néha) Barátságos Állat,Intermediate,HUN,25.4729,2.4276,1727.6,Champion,false,24,Moravia Open 2025
69,Indrė Pašakinskaitė,,Call me Pocahontas Gudri lapė,Intermediate,LTU,27.4609,3.1353,1722.2,Champion,false,19,AWC 2025
70,Daša Zakotnik,Ki,,Intermediate,SVN,27.3472,3.1256,1718.8,Champion,false,19,EO 2025
71,Tereza Králová,Nissa,Full Of Energy Bkl,Intermediate,CZE,25.1752,2.4188,1716.7,Champion,false,24,Prague Agility Party 2025
72,ferruccio costantini,cp,,Intermediate,ITA,31.2579,4.4554,1715.7,Champion,true,12,ProsecCup 2025
73,de Silva Carina,Lux,Aikandi thats me the bRave Artful Dodger,Intermediate,DNK,27.7961,3.3078,1714.9,Champion,false,18,EO 2025
74,Svobodová Natália,Belli,Bellina Bayo of KY's Spirit,Intermediate,SVK,28.2796,3.484,1713.1,Champion,false,17,AWC 2025
75,Nadine Kohl,Quinn,Be different and leave traces Quinn Quinn,Intermediate,AUT,22.2578,1.5,1710.3,Champion,false,51,EO 2025
76,Tuulia Liuhto,PROMILLEN MALIBU,PROMILLEN KIR ROYAL,Intermediate,FIN,24.6946,2.3173,1709.7,Champion,false,25,Moravia Open 2025
77,Anna Orenius,AKATEMIAN KAJA,,Intermediate,FIN,27.6671,3.3135,1709.1,Champion,false,18,Midsummer Dog Sports Festival 2025
78,Lucie Růžičková,Brilley,A3Ch Brilley z Denveru,Intermediate,CZE,25.337,2.5557,1706.8,Champion,false,23,Prague Agility Party 2025
79,Marjo Korander,RIVERFLOWERS FYR,,Intermediate,,27.0069,3.1471,1702.6,Champion,false,19,Midsummer Dog Sports Festival 2025
80,Aneta Grygarová,Disney,A3CH. Escape to Dream Bohemia Grant Disney,Intermediate,CZE,23.4896,1.989,1700.9,Champion,false,28,Polish Open 2026 (IN & L)
81,Manuela Piccin,Marvel,,Intermediate,ITA,28.4647,3.6523,1700.3,Expert,false,16,JOAWC/SOAWC 2025
82,Hampl Brigitte,Yes,Especially Yes of Magic Border's,Intermediate,AUT,27.8691,3.4592,1699.7,Expert,false,17,Slovenian Open 2025
83,Riina Kellman,Kreisi,,Intermediate,FIN,29.4926,4.0384,1695.1,Expert,true,14,Polish Open 2026 (IN & L)
84,Małgorzata Neuwald,Flik,,Intermediate,POL,26.7457,3.126,1694.7,Expert,false,19,Polish Open SOFT 2025 (IN & L)
85,Anna Parviainen,PROMILLEN NAPUE,PROMILLEN JERSEY DEVIL,Intermediate,FIN,26.7271,3.143,1691.9,Expert,false,19,Midsummer Dog Sports Festival 2025
86,Marietta Kudyba,Dijaa,Fearless Flying Dazzling Dijaa,Intermediate,DEU,21.7955,1.5,1691.8,Expert,false,34,Polish Open 2026 (IN & L)
87,Zuzana Višvaderová,Arrow,Arrow Stormy Anubis Canis,Intermediate,CZE,22.5587,1.794,1687.1,Expert,false,30,Polish Open 2026 (IN & L)
88,Magdalena Ziolkowska,Muku,Ready2rock Muku Shepter,Intermediate,POL,23.3706,2.087,1684.4,Expert,false,27,Hungarian Open 2025
89,jose manuel Davila Rosales,Turi,TURI KITANE TO FALL IN LOVE,Intermediate,ITA,26.4659,3.1302,1683.0,Expert,false,19,AWC 2025
90,Bakos Zoltán,Zuri,Fire Inspired Entrancing Firebird,Intermediate,HUN,23.5696,2.1942,1679.5,Expert,false,26,AWC 2025
91,donata ghiringhelli,Khaleesi,Khaleesi of the dragons,Intermediate,ITA,25.0471,2.6943,1678.6,Expert,false,22,Austrian Agility Open 2025
92,Davide De Lucia,,THE STRONG LISBONA,Intermediate,ITA,29.6984,4.2705,1675.5,Expert,true,13,Austrian Agility Open 2025
93,Krystyna Cisak,Iskra,,Intermediate,POL,21.7018,1.6179,1673.9,Expert,false,32,Polish Open 2026 (IN & L)
94,Pascale Kühn,Merci,Merci of Austrian Starlight,Intermediate,AUT,25.731,2.9889,1670.6,Expert,false,20,AWC 2025
95,Ádám József,Áfi,Áfonya of the Sporty Heroes,Intermediate,HUN,25.6911,2.9818,1669.8,Expert,false,20,EO 2025
96,Buzássy Honóra,Kiwi,Grisa Angels of Baranya,Intermediate,HUN,22.9615,2.0788,1669.0,Expert,false,27,EO 2025
97,Maiju Korhonen,,CALL ME WITCH WITH BRAIN INSIDE,Intermediate,,27.1804,3.4862,1668.9,Expert,false,17,Midsummer Dog Sports Festival 2025
98,Marietta Kudyba,Leesha,,Intermediate,DEU,23.2853,2.1931,1668.2,Expert,false,26,Polish Open 2026 (IN & L)
99,Rita Jakštaitė,Daphne,Draugs Daphne Apshain,Intermediate,LTU,28.2464,3.8509,1667.7,Expert,false,15,Polish Open 2026 (IN & L)
100,Arthur Naud,Pim's,Be My Miss Universe Cosmic Power,Intermediate,FRA,26.0827,3.1369,1666.9,Expert,false,19,Slovenian Open 2025
101,Minna Kiviniemi-Riihinen,STOLICHNAYA,,Intermediate,,27.1043,3.485,1666.0,Expert,false,17,Midsummer Dog Sports Festival 2025
102,Primož Petrovič Vernikov,Mint,Shadow Of Aire Semper Fidelis,Intermediate,SVN,28.7168,4.0486,1662.8,Expert,true,14,AWC 2024
103,Valentina  Mugellini,,Cinque dei Matiblu Gwendalina,Intermediate,ITA,24.9578,2.8239,1659.4,Expert,false,21,Slovenian Open 2025
104,Diana Valachová,Hannah Aibara,,Intermediate,SVK,27.3629,3.6422,1657.5,Expert,false,16,AWC 2025
105,Leonardo Mazzantini,,RMF ISTA WAMBLY,Intermediate,ITA,27.3357,3.6338,1657.4,Expert,false,16,Alpine Agility Open 2025
106,Holler Jenny,Diego,,Intermediate,DEU,26.2817,3.2966,1655.7,Expert,false,18,Polish Open 2026 (IN & L)
107,Simone Sanna,Eterna,Age Of Wonders,Intermediate,ITA,30.568,4.7335,1654.7,Expert,true,11,EO 2024
108,Csóka Tamás,Mangó,Smiling Soul-TEAM Double Trouble,Intermediate,HUN,27.1894,3.6334,1651.6,Expert,false,16,AWC 2025
109,Andrius Morkūnas,,Marvelous run like hell gudri lapė,Intermediate,,27.7745,3.8519,1648.8,Expert,false,15,Midsummer Dog Sports Festival 2025
110,Tanja Kurikka,Lilo,Gjerulff Lovely Lilo Hits The Jackpot,Intermediate,FIN,26.5628,3.4834,1644.5,Expert,false,17,Nordic Agility Championship 2024
111,Jenny Damm,Zonia,,Intermediate,SWE,28.9155,4.2715,1644.0,Expert,true,13,Norwegian Open 2025
112,Omar Babini,Mina,REFLEX A STAR DES CROCS DE PROVENCE,Intermediate,FRA,24.9795,2.9815,1641.4,Expert,false,20,EO 2025
113,Iban Cubedo,Selene,Shadow Of Aire Selene,Intermediate,ESP,30.2267,4.7317,1641.3,Expert,true,11,Polish Open 2025 (IN & L)
114,Svetlana Prokopenko,Mickey Mouse,Dark Rider Koryfej,Intermediate,LVA,25.93,3.2996,1641.2,Expert,false,18,Polish Open SOFT 2025 (IN & L)
115,Erika Molas Coll,Milo,Beep'ma Douce Petite Vie,Intermediate,HUN,21.1204,1.704,1640.3,Expert,false,31,Polish Open 2026 (IN & L)
116,Vittorio Felci,CHERYL COLE,,Intermediate,ITA,24.9069,2.9697,1639.9,Expert,false,20,JOAWC/SOAWC 2025
117,Weronika Maciejewska,Zjava,,Intermediate,POL,21.9226,1.9843,1638.8,Expert,false,28,Polish Open 2026 (IN & L)
118,Ola Gronek,Cosmo,Seven Seas I.-C Raven Kind of Cosmo,Intermediate,POL,21.5841,1.8766,1638.2,Expert,false,29,Polish Open 2026 (IN & L)
119,Susan Koldenhof,Sign,Infinity Light Sign Of Mindpower,Intermediate,NLD,25.8588,3.3069,1637.5,Expert,false,18,AWC 2025
120,Tereza Bustamante,,Brilanta Zahájský mlýn,Intermediate,CZE,25.2735,3.14,1634.1,Expert,false,19,Prague Agility Party 2025
121,Jana Nejdlová,,A drop in the ocean Puki,Intermediate,CZE,25.1368,3.1366,1629.1,Expert,false,19,Prague Agility Party 2025
122,Leonardo Casoni,BABY K,,Intermediate,ITA,24.119,2.809,1627.7,Expert,false,21,AWC 2025
123,Claudia Engelen,Tex-Mex,Born to Bark Gates of Heaven Gates of Heaven,Intermediate,NLD,20.744,1.707,1624.9,Expert,false,31,Prague Agility Party 2025
124,Elin Nilsson,Bee,Thelook Smashing Bee,Intermediate,SWE,27.7429,4.0466,1624.1,Expert,true,14,Norwegian Open 2025
125,Lea Paulic,Malika,,Intermediate,AUT,24.084,2.8332,1623.4,Expert,false,21,Hungarian Open 2025
126,Inge Ringmets,Tarmi,World Of Britley's Tarm,Intermediate,EST,25.9591,3.4775,1621.1,Expert,false,17,AWC 2025
127,Ilse Claassen,Rusty,,Intermediate,NLD,25.4119,3.3061,1619.7,Expert,false,18,Dutch Open 2025
128,Yasmin Eklund,Viv,GREIS WORKING VIV,Intermediate,,24.8963,3.1479,1618.1,Expert,false,19,Midsummer Dog Sports Festival 2025
129,Giovanni Rigamonti,,MASAAL NEVER GIVE UP-N,Intermediate,ITA,30.1859,4.9128,1617.9,Expert,true,10,Alpine Agility Open 2025
130,Zuzana Kubánková,Tajenka,,Intermediate,CZE,24.3126,2.9866,1614.1,Expert,false,20,EO 2025
131,Roman Maruszczak,T-Rex,,Intermediate,POL,24.1888,2.9721,1610.9,Expert,false,20,Norwegian Open 2024
132,Patrizia Ciuffetti,Say10,Mobscene My Say 10,Intermediate,ITA,26.1778,3.6459,1609.6,Expert,false,16,ProsecCup 2025
133,Euan Paterson,Crazee,Ag Ch Devongem Quick Time,Intermediate,GBR,26.7286,3.8607,1605.9,Expert,false,15,AWC 2025
134,Antonella Giurastante,Nike,Nice and sweet Nike in the star,Intermediate,ITA,29.3128,4.732,1604.7,Expert,true,11,JOAWC/SOAWC 2025
135,Anna Glaszner,Nice,,Intermediate,AUT,28.4602,4.4919,1599.4,Expert,true,12,Austrian Agility Open 2025
136,Stefi Praakli,,FIRE ROCK POWERPAWS,Intermediate,EST,24.8629,3.3,1598.5,Expert,false,18,Midsummer Dog Sports Festival 2025
137,Hugo Santos,Never,Never Say Never Never,Intermediate,PRT,22.6202,2.5592,1597.7,Expert,false,23,EO 2025
138,Kateřina Mrázková,Gwai,Gwaii Haida Thiwahe Gwaii,Intermediate,CZE,25.3389,3.474,1596.7,Expert,false,17,Slovenian Open 2025
139,Carla van Adrichem,Hazel,Hazel vom Thurnhof,Intermediate,DEU,25.7889,3.6248,1596.6,Expert,false,16,JOAWC/SOAWC 2025
140,Michaela Šalamunová,Tiara,,Intermediate,,24.3014,3.1337,1596.0,Expert,false,19,Prague Agility Party 2025
141,Wolfgang Tieber,May,Sams Motley Crew Amazing May May,Intermediate,AUT,23.8175,2.9744,1595.8,Expert,false,20,Slovenian Open 2025
142,Tiina Leinonen,,SOMETHING LIKE ROAST YOUR ENEMY,Intermediate,,24.8163,3.3118,1595.2,Expert,false,18,Midsummer Dog Sports Festival 2025
143,Ola Kordas,Visa,Speedapp Travel Visa,Intermediate,POL,22.51,2.5471,1594.8,Expert,false,23,EO 2025
