rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
1,Iwona Golab,SeeYa,Never Never Land Sayonara,Intermediate,POL,46.8579,1.5,2694.3,Elite,false,62,Polish Open 2026 (IN & L)
2,Gerda Zemaityte,Lee,,Intermediate,LTU,42.054,1.5,2502.2,Elite,false,36,Polish Open 2026 (IN & L)
3,Svetlana  Kreslina,Flyland Unstoppable,Flyland Nothing s Impossible,Intermediate,LVA,41.9079,1.5,2496.3,Elite,false,37,AWC 2025
4,Andy De Groote,Deeks,GO FOR DEEKS BOHEMIA GRANT BOHEMIA GRANT,Intermediate,BEL,40.7742,1.8928,2403.8,Elite,false,29,Prague Agility Party 2025
5,Jan Fiala,Kirlie Mawlch,,Intermediate,HRV,41.8217,2.3067,2396.1,Elite,false,25,Prague Agility Party 2025
6,Gianluca Schingaro,,Supergirl dei Matiblu Moss,Intermediate,ITA,43.5847,2.939,2390.7,Elite,false,20,Slovenian Open 2025
7,Eiffes Andy,Bee,Bee My Baby Gold'N Rebeits,Intermediate,LUX,40.0772,1.8784,2377.7,Elite,false,29,Polish Open 2026 (IN & L)
8,Ariane Wieber,Zola,Keen Workers Addicted to Zola,Intermediate,NOR,40.294,2.2031,2347.4,Elite,false,26,AWC 2025
9,Lenka Sack,Theika,A3Ch Theika Irhaberki,Intermediate,CZE,38.1069,1.5,2344.3,Elite,false,46,Polish Open 2026 (IN & L)
10,Christina Paulik,Happy,Happy Sigrid Petit Jerloust of my Queen,Intermediate,AUT,37.9814,1.5,2339.3,Elite,false,56,Polish Open 2026 (IN & L)
11,Roman Maruszczak,Reksio,Crazy Barking Monsters Solar Storm,Intermediate,POL,37.9648,1.5,2338.6,Elite,false,38,Polish Open 2026 (IN & L)
12,Christiane Fischbach,Salt,,Intermediate,DEU,38.7978,1.8789,2326.4,Elite,false,29,Polish Open 2026 (IN & L)
13,Jakub Diviš,Cis,A3Ch Finrod Frances Wonderfull Dream,Intermediate,CZE,37.558,1.5,2322.3,Elite,false,90,Polish Open 2026 (IN & L)
14,Sandra Langer,Las Vegas,Vegas Fireworkhill Las Vegas,Intermediate,AUT,37.3939,1.5,2315.8,Elite,false,46,Prague Agility Party 2025
15,Jan Fiala,Knedlee Czech,,Intermediate,CZE,37.0754,1.5,2303.0,Elite,false,43,Polish Open 2026 (IN & L)
16,Dana Mixová,Valerie,Valerie Shadow of Aire Valerie,Intermediate,CZE,36.9752,1.5,2299.0,Elite,false,53,Polish Open 2026 (IN & L)
17,Paulina Duda,Free,Never Never Land E’Anka,Intermediate,POL,36.3742,1.5,2275.0,Elite,false,42,Polish Open 2025 (IN & L)
18,Karel Kurc,Rallye,A3Ch Cool Rallye Te Salutant,Intermediate,CZE,36.8558,1.706,2269.5,Champion,false,31,AWC 2025
19,Ola Kłobukowska,Yuca,,Intermediate,POL,36.6857,1.7968,2251.8,Champion,false,30,Polish Open 2025 (IN & L)
20,Nataliia Denysenko,Astrid,,Intermediate,UKR,35.332,1.5,2233.3,Champion,false,36,Polish Open SOFT 2025 (IN & L)
21,Agneta Milikauskaitė,Hulu,Catch Your Dream From Valachian Highlands,Intermediate,LTU,34.9765,1.5,2219.1,Champion,false,36,Polish Open SOFT 2025 (IN & L)
22,Fabrizio Cantatore,Emma,EMMA OF CRAZY SISSY'S HOME,Intermediate,ITA,35.9933,1.9813,2202.0,Champion,false,28,EO 2025
23,Sára Simandlová,Dakota,Btw I’m Dakota Full of rush,Intermediate,CZE,34.5268,1.5,2201.1,Champion,false,62,Polish Open 2026 (IN & L)
24,Matteo Savini,,ON MY HEART IN THE STAR,Intermediate,ITA,34.8923,1.7943,2180.4,Champion,false,30,Austrian Agility Open 2025
25,Jens Heitmann,Cliff,Shadow of Aire Bright Cliff,Intermediate,AUT,38.9878,3.2726,2166.8,Champion,false,18,Polish Open 2026 (IN & L)
26,Magdalena Wasiukiewicz,Dumka,Spiffing Wit Dazzling Doom,Intermediate,POL,35.2856,2.0909,2160.5,Champion,false,27,AWC 2025
27,Justin Schiel,Joy,Enjoy the Silence Agilepaws,Intermediate,DEU,35.6886,2.4302,2135.9,Champion,false,24,Polish Open 2026 (IN & L)
