rank,handler,call_name,registered_name,size,country,mu,sigma,displayed_rating,tier,provisional,num_runs,last_competition
1,Iwona Golab,SeeYa,Never Never Land Sayonara,Intermediate,POL,40.3255,1.5,2433.0,Elite,false,47,Polish Open 2026 (IN & L)
2,Svetlana  Kreslina,Flyland Unstoppable,Flyland Nothing s Impossible,Intermediate,LVA,36.9176,1.9564,2241.9,Elite,false,28,AWC 2025
3,Gerda Zemaityte,Lee,,Intermediate,LTU,36.2254,2.0675,2200.9,Elite,false,27,Polish Open 2026 (IN & L)
4,Christina Paulik,Happy,Happy Sigrid Petit Jerloust of my Queen,Intermediate,AUT,33.7652,1.5217,2168.0,Elite,false,33,Polish Open 2026 (IN & L)
5,Sára Simandlová,Dakota,Btw I’m Dakota Full of rush,Intermediate,CZE,32.8598,1.5,2134.4,Elite,false,38,Polish Open 2026 (IN & L)
6,Lenka Sack,Theika,A3Ch Theika Irhaberki,Intermediate,CZE,32.0279,1.5754,2092.1,Elite,false,32,Polish Open 2026 (IN & L)
7,Dana Mixová,Valerie,Valerie Shadow of Aire Valerie,Intermediate,CZE,31.3761,1.6743,2054.1,Elite,false,31,Polish Open 2026 (IN & L)
8,Ola Kłobukowska,Yuca,,Intermediate,POL,35.4664,3.2743,2025.7,Elite,false,18,Polish Open 2025 (IN & L)
9,Jakub Diviš,Cis,A3Ch Finrod Frances Wonderfull Dream,Intermediate,CZE,29.7138,1.5,2008.6,Elite,false,68,Polish Open 2026 (IN & L)
10,Ariane Wieber,Zola,Keen Workers Addicted to Zola,Intermediate,NOR,31.7642,2.3079,1993.6,Elite,false,25,AWC 2025
11,Paulina Duda,Free,Never Never Land E’Anka,Intermediate,POL,30.009,1.9362,1968.0,Champion,false,28,Polish Open 2025 (IN & L)
12,Barbora Novotná,Bibi,Bon Bibi Devětsil,Intermediate,CZE,30.6713,2.1723,1966.2,Champion,false,26,Polish Open 2026 (IN & L)
13,Jan Fiala,Kirlie Mawlch,,Intermediate,HRV,31.8451,2.6387,1957.2,Champion,false,22,Prague Agility Party 2025
14,Andy De Groote,Deeks,GO FOR DEEKS BOHEMIA GRANT BOHEMIA GRANT,Intermediate,BEL,32.2309,2.7926,1954.1,Champion,false,21,Prague Agility Party 2025
15,Monika Rylska,Koza,Beck's Hill Mafia Princess,Intermediate,POL,34.0237,3.4577,1946.0,Champion,false,17,Polish Open SOFT 2025 (IN & L)
16,Eiffes Andy,Bee,Bee My Baby Gold'N Rebeits,Intermediate,LUX,31.7503,2.7653,1938.2,Champion,false,21,Polish Open 2026 (IN & L)
17,Tereza Králová,Nissa,Full Of Energy Bkl,Intermediate,CZE,34.855,3.8498,1932.2,Champion,false,15,Prague Agility Party 2025
18,Jan Fiala,Knedlee Czech,,Intermediate,CZE,28.9285,1.9445,1923.8,Champion,false,28,Polish Open 2026 (IN & L)
19,Sandra Langer,Las Vegas,Vegas Fireworkhill Las Vegas,Intermediate,AUT,28.2773,1.7703,1918.7,Champion,false,30,Prague Agility Party 2025
20,Justin Schiel,Joy,Enjoy the Silence Agilepaws,Intermediate,DEU,30.403,2.9142,1866.4,Champion,false,20,Polish Open 2026 (IN & L)
21,Fabrizio Cantatore,Emma,EMMA OF CRAZY SISSY'S HOME,Intermediate,ITA,29.7792,3.037,1826.7,Champion,false,19,EO 2025
22,Sabine Serwin,,Graceful border act like a Queen miss Casey (Little,Intermediate,DNK,33.7163,4.471,1812.1,Champion,true,12,AWC 2025
23,Katariina Kuiro,Wendi,Melissa Andre Blooms,Intermediate,FIN,31.0682,3.6059,1810.0,Champion,false,16,AWC 2025
24,Roman Maruszczak,Reksio,Crazy Barking Monsters Solar Storm,Intermediate,POL,27.9001,2.7114,1790.6,Champion,false,21,Polish Open 2026 (IN & L)
25,Ivana Sipalova,Zozó,BLACK RIVER KENNEL ZODIAC,Intermediate,ITA,31.1079,3.9863,1766.0,Champion,false,14,EO 2025
26,Veronika Kolmanová,Vaiana,Vaiana D1 Next Alkyra,Intermediate,CZE,27.9225,2.9464,1763.3,Champion,false,20,Polish Open 2026 (IN & L)
27,Valentyna Riezanova,Jera,My Mad Dream Avada Kedavra Jera,Intermediate,UKR,30.2764,3.7822,1757.2,Champion,false,15,AWC 2025
28,Christiane Fischbach,Salt,,Intermediate,DEU,28.4044,3.1925,1753.1,Champion,false,18,Polish Open 2026 (IN & L)
29,Karel Kurc,Rallye,A3Ch Cool Rallye Te Salutant,Intermediate,CZE,26.8952,2.7736,1743.0,Champion,false,21,AWC 2025
30,Magdalena Wasiukiewicz,Dumka,Spiffing Wit Dazzling Doom,Intermediate,POL,30.7431,4.2197,1723.4,Champion,true,13,AWC 2025
31,Christina Kuko,Punky,,Intermediate,DEU,30.4912,4.1962,1716.1,Champion,true,13,Polish Open 2026 (IN & L)
32,Agneta Milikauskaitė,Hulu,Catch Your Dream From Valachian Highlands,Intermediate,LTU,24.8414,2.35,1711.7,Champion,false,24,Polish Open SOFT 2025 (IN & L)
33,Ola Gronek,Heya,Once Again Heya My Queen,Intermediate,POL,30.8563,4.3746,1709.3,Champion,true,12,Polish Open 2025 (IN & L)
34,Lucie Krejčí,Tori,,Intermediate,CZE,29.5687,4.0004,1702.7,Champion,true,14,Polish Open 2025 (IN & L)
35,Paulik Helmut,,Gchiquita Banana of Austrian Diamonds,Intermediate,AUT,28.1743,3.551,1700.9,Champion,false,16,AWC 2025
36,Vera Neves,Mai,Non Dire Mai,Intermediate,PRT,30.7424,4.5704,1681.2,Champion,true,11,EO 2025
37,Jacqueline Scannella,Quick,Indira from Azucena`s dream`s,Intermediate,DEU,28.9705,4.0001,1678.8,Champion,true,14,Prague Agility Party 2024
38,Kateřina Burdová,Drive,Drive Wanderers of Saint Wendelin,Intermediate,CZE,26.2932,3.2574,1660.8,Champion,false,18,Polish Open 2026 (IN & L)
39,Matej Čuček,Ninja,Shadow of Aire Under Pressure Ninja,Intermediate,SVN,26.2847,3.2706,1658.9,Champion,false,18,AWC 2025
40,Gartler-Rappold Karin,Blue Shanell,Makaras Aussies Blue Shanell,Intermediate,AUT,25.99,3.2821,1645.8,Champion,false,18,Prague Agility Party 2025
41,Lucie Růžičková,Brilley,A3Ch Brilley z Denveru,Intermediate,CZE,29.421,4.4282,1645.5,Champion,true,12,Prague Agility Party 2025
42,Kine Eimhjellen,Kos,Wicked Wonderland Allez Kos,Intermediate,NOR,27.6467,3.8375,1645.4,Champion,false,15,EO 2025
43,Maija Anttolainen,Overdo Elite,,Intermediate,FIN,30.8632,5.1592,1615.4,Champion,true,9,Midsummer Dog Sports Festival 2025
44,Jenny Damm,Zonia,,Intermediate,SWE,30.1782,4.9468,1613.5,Expert,true,10,Norwegian Open 2025
45,Arthur Naud,Pim's,Be My Miss Universe Cosmic Power,Intermediate,FRA,29.3367,4.6867,1611.1,Expert,true,11,Slovenian Open 2025
46,Federica Grilli,Gina,Nangamai jelly bean,Intermediate,ITA,28.4736,4.4137,1609.3,Expert,true,12,AWC 2025
47,Iban Cubedo,Selene,Shadow Of Aire Selene,Intermediate,ESP,30.484,5.2128,1593.8,Expert,true,9,Polish Open 2025 (IN & L)
48,Gianluca Schingaro,,Supergirl dei Matiblu Moss,Intermediate,ITA,30.8287,5.3717,1588.5,Expert,true,8,Slovenian Open 2025
49,Krzysztof Marciniak,Sza-Luna,,Intermediate,POL,27.7017,4.3848,1581.9,Expert,true,12,Polish Open 2026 (IN & L)
50,Marco Gschaider,Deep,Ruff'n'Tuff Dancing in the Dark Deep,Intermediate,AUT,21.5765,2.3609,1579.7,Expert,false,24,Polish Open 2026 (IN & L)
51,Daša Zakotnik,Ki,,Intermediate,SVN,28.2244,4.5913,1578.0,Expert,true,11,Polish Open SOFT 2024 (IN & L)
52,Gerda Zemaityte,Sabshai A'LEE,Sabshai Alee Lee,Intermediate,AUS,32.6194,6.0639,1577.1,Expert,true,6,Slovenian Open 2025
53,Matteo Savini,,ON MY HEART IN THE STAR,Intermediate,ITA,24.4787,3.3559,1576.4,Expert,false,17,Austrian Agility Open 2025
54,Antonella Giurastante,Nike,Nice and sweet Nike in the star,Intermediate,ITA,29.8223,5.1381,1576.3,Expert,true,9,JOAWC/SOAWC 2025
55,Daša Zakotnik,Spin,"EMDOGS CALLSIGN SPIN ""Spin"" ""EMDOGS CALLSIGN SPIN ""Spin""""",Intermediate,SVN,27.5139,4.3766,1575.4,Expert,true,12,Hungarian Open 2025
56,Ola Kordas,Visa,Speedapp Travel Visa,Intermediate,POL,29.935,5.1861,1575.1,Expert,true,9,EO 2025
57,Ola Gronek,Cosmo,Seven Seas I.-C Raven Kind of Cosmo,Intermediate,POL,29.7756,5.1449,1573.6,Expert,true,9,Polish Open 2026 (IN & L)
58,Elin Nilsson,Bee,Thelook Smashing Bee,Intermediate,SWE,27.7094,4.4609,1573.1,Expert,true,12,Norwegian Open 2025
59,Anke Mangelschots,Jill,Luna Tale Rising Star Jill,Intermediate,FIN,26.6114,4.1546,1565.9,Expert,true,13,AWC 2025
60,Jens Heitmann,Cliff,Shadow of Aire Bright Cliff,Intermediate,AUT,26.9133,4.2691,1564.2,Expert,true,12,Polish Open 2026 (IN & L)
61,Svetlana Kreslina,Dance,,Intermediate,LVA,29.6431,5.1914,1562.8,Expert,true,9,Polish Open SOFT 2025 (IN & L)
62,Leonardo Casoni,BABY K,,Intermediate,ITA,28.1005,4.7276,1556.7,Expert,true,11,AWC 2025
63,Hadrbolcová Michaela,Fly,,Intermediate,CZE,29.4514,5.2163,1552.1,Expert,true,9,Prague Agility Party 2024
