competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,329,"Vyskoč, Matej",Jackpot,Border Collie,SVK,2,0,0.00,10.00,28.99,5.93,False,Lisa Frick,48.0,80.0,172.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,316,"Molas Coll, Erika",Milo,Poodle,HUN,0,0,0.00,0.00,38.88,5.14,False,Lisa Frick,48.0,80.0,200.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,1,308,"Zemaityte, Gerda",Lee,Border Collie,LTU,0,0,0.00,0.00,36.24,0,False,Sergio Sousa,,,
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,332,"Cicogna, Valentina",twiggy,Border Collie,ITA,2,0,0.00,10.00,29.82,5.77,False,Lisa Frick,48.0,80.0,172.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,346,"Paulic, Lea",Malika,Croatian,HUN,0,0,4.07,4.07,52.07,3.84,False,Lisa Frick,48.0,80.0,200.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,2,304,"Andy, Eiffes",Bee,Border Collie,FRA,0,0,0.00,0.00,36.80,0,False,Sergio Sousa,,,
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,320,"Barišić, Sanja",Garry,Croatian,HRV,2,0,0.00,10.00,36.99,4.65,False,Lisa Frick,48.0,80.0,172.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,336,"Dorniaková, Adela",Zee,Border Collie,SVK,1,0,0.00,5.00,32.98,6.06,False,Lisa Frick,48.0,80.0,200.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,3,321,"Golab, Iwona",SeeYa,Border Collie,POL,0,0,0.00,0.00,38.75,0,False,Sergio Sousa,,,
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,333,"Krajnc, Martina",Sijona,Pyrshep,SVN,1,1,0.00,10.00,46.54,3.7,False,Lisa Frick,48.0,80.0,172.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,327,"Veizer, Andrea",Vinna,NSDTR,HUN,2,0,0.86,10.86,48.86,4.09,False,Lisa Frick,48.0,80.0,200.0
Croatian Open 2024,ind_agility_intermediate_1,Intermediate,Agility,False,4,322,"Maruszczak, Roman",T-Rex,Pyrshep,POL,0,0,0.00,0.00,41.22,0,False,Sergio Sousa,,,
