competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,1,512,"Szulczewska, Kinga",Up,Border Collie,POL,0,0,0.00,0.00,39.18,5.62,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,1,519,"Zemaityte, Gerda",Lee,Border Collie,LTU,0,0,0.00,0.00,39.18,5.62,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,3,507,"Fiala, Jan",Knedlee Czech,Border Collie,CZE,0,0,0.00,0.00,39.44,5.58,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,4,535,"Diviš, Jakub",Cis,Border Collie,CZE,0,0,0.00,0.00,39.64,5.55,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,5,528,"Kuźnik, Klara",Ponto,Kelpie,AUT,0,0,0.00,0.00,41.81,5.26,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,6,531,"Maruszczak, Roman",Pipon,Pyrshep,POL,0,0,0.00,0.00,41.88,5.25,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,7,546,"Kreslina, Svetlana",Dance,Border Collie,LVA,1,0,0.00,5.00,37.31,5.9,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,8,549,"Taliaru, Ege",Nirk,Border Collie,EST,1,0,0.00,5.00,37.79,5.82,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,9,541,"Barkow, Kimberly",Lizzy,MIX,DEU,1,0,0.00,5.00,38.83,5.67,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,10,540,"Guobys, Vytautas",Nanna,Border Collie,LTU,1,0,0.00,5.00,40.81,5.39,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,11,509,"Bawer, Beata",Asteri,Border Collie,POL,1,0,0.00,5.00,42.03,5.23,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,12,523,"Čapková, Katerina",Indy,Kelpie,CZE,1,0,0.00,5.00,42.56,5.17,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,13,508,"Łata, Zuzanna",Nel,Border Collie,POL,1,0,0.00,5.00,43.30,5.08,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,14,550,"Kudyba, Marietta",Leesha,Border Collie,DEU,1,0,0.00,5.00,44.49,4.94,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,15,534,"Storcheus, Anna",Cherry,Border Collie,UKR,0,1,1.75,6.75,47.75,4.61,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,16,522,"Košťáková, Kristýna",Coudy,Border Collie,CZE,1,0,2.13,7.13,48.13,4.57,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,17,529,"Wasiukiewicz, Magda",Dumka,Border Collie,POL,2,0,0.00,10.00,37.71,5.83,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,18,547,"Prokopenko, Svetlana",Mickey mouse,Sheltie,LVA,2,0,0.00,10.00,39.96,5.51,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,19,533,"Denysenko, Nataliia",Astrid,Border Collie,UKR,2,0,0.00,10.00,44.98,4.89,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,20,517,"Gronek, Ola",Cosmo,Border Collie,POL,3,0,0.00,15.00,38.51,5.71,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,21,543,"Marciniak, Krzysztof",Sza-Luna,MIX,POL,3,0,0.00,15.00,38.97,5.65,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,22,521,"Beliharova, Karolina",Bea,Australian Shepherd,CZE,3,0,0.00,15.00,41.36,5.32,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,23,537,"Dambrauskaite, Elena",Amie,Border Collie,LTU,5,1,1.20,31.20,47.20,4.66,False,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,505,"Cisak, Krystyna",Smok,MIX,POL,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,532,"Maciejewska, Weronika",Zjava,Australian Shepherd,POL,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,544,"Cisak, Krystyna",Iskra,Mudi,POL,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,506,"Neuwald, Małgorzata",Flik,Kelpie,POL,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,539,"Pavliucek, Nadezda",Gudini,MIX,LTU,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,520,"Bílková, Sofie Ann",Bailey,Border Collie,CZE,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,503,"Szczepkowska, Katka",Lato,Cocker,POL,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,538,"Liškauskaitė, Indrė",Delfina,Border Collie,LTU,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,518,"Milikauskaitė, Agneta",Lava,Border Collie,LTU,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,501,"Kudyba, Marietta",Dijaa,Border Collie,DEU,,,,,,,True,Angelika Brandl,,,220.0
Polish Open SOFT 2025 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,525,"Dąbrowska, Jana Janina",Fulla,Border Collie,POL,,,,,,,True,Angelika Brandl,,,220.0
