competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,1,631,Rebecca Kowalski,Taki,,DEU,,,,0.0,34.1,6.28,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,2,365,Patrick Martin,Grace,,CHE,,,,0.0,34.58,6.19,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,3,347,Gerda Zemaityte,Lee,,LTU,,,,0.0,35.28,6.07,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,4,502,Monika Rylska,Koza Nostra,,POL,,,,0.0,35.32,6.06,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,5,158,Ariane Wieber,Zola,,NOR,,,,0.0,35.67,6.0,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,6,30,Marita Ogilvie,Cicada,,ESP,,,,0.0,35.74,5.99,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,7,665,Iwona Golab,Seeya,,POL,,,,0.0,36.05,5.94,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,8,715,Chris Tucci,Naavdanya,,USA,,,,0.0,36.1,5.93,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,9,432,Michele Pauwels,Nica,,BEL,,,,0.0,36.11,5.93,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,10,722,Euan Paterson,Crazee,,GBR,,,,0.0,36.18,5.91,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,11,710,Giuseppe Culora,Siby,,ITA,,,,0.0,36.26,5.9,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,12,688,Isabelle Orenius Emanuels…,Prem,,SWE,,,,0.0,36.3,5.9,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,13,719,Laurren Bastian,Maestro,,USA,,,,0.0,36.34,5.89,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,14,441,Kim Serneels,Sya,,BEL,,,,0.0,36.76,5.82,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,15,311,Benedicte Hubaut,Noumea,,FRA,,,,0.0,36.8,5.82,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,16,198,Steven Richardson,Gamble,,GBR,,,,0.0,36.94,5.79,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,17,450,Andy Eiffes,Bee,,LUX,,,,0.0,36.96,5.79,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,18,780,Riina Kellman,Kiksi,,FIN,,,,0.0,36.98,5.79,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,19,732,Dudley Shumate,Jammy,,USA,,,,0.0,37.0,5.78,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,20,128,Elsa Soo,Venus,,SGP,,,,0.0,37.32,5.73,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,21,523,Aline Tricot,Nina,,BEL,,,,0.0,37.48,5.71,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,22,178,Michelle Antoni,Razz,,FRA,,,,0.0,37.49,5.71,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,23,14,Claudia Tieber,Ashly,,AUT,,,,0.0,37.63,5.69,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,24,183,Kim Barreau,Oréo,,FRA,,,,0.0,37.64,5.69,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,25,613,Dayna Michiels,Dyahvi,,BEL,,,,0.0,37.69,5.68,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,26,683,Juan Cadena,Blue,,COL,,,,0.0,37.83,5.66,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,27,534,Carina De Silva,Lux,,DNK,,,,0.0,37.88,5.65,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,28,695,Casey Keller,Liri,,USA,,,,0.0,38.49,5.56,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,29,92,Felix Mienert,Piu,,DEU,,,,0.0,38.63,5.54,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,30,188,Eleonora Cecchini,Piper,,ITA,,,,0.34,39.34,5.44,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,31,51,Karel Kurc,Rallye,,CZE,,,,0.43,39.43,5.43,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,32,645,Sebastien Allerme,Shym,,FRA,,,,5.0,34.3,6.24,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,33,552,Pau Serrano Ciratusa,Break,,ESP,,,,5.0,34.95,6.12,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,34,620,Svetlana Kreslina,Dance,,LVA,,,,5.0,35.0,6.11,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,35,303,Christina Kuko,Punky,,DEU,,,,5.0,35.11,6.1,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,36,153,Cecilia Klingberg,Dee,,SWE,,,,5.0,35.7,5.99,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,37,180,Fabrizio Cantatore,Emma,,ITA,,,,5.0,36.07,5.93,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,38,779,Juha Orenius,Hera,,FIN,,,,5.0,36.28,5.9,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,39,159,Kine Eimhjellen,Kos,,NOR,,,,5.0,36.57,5.85,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,40,360,Yoann Bages,Plexie,,FRA,,,,5.0,36.61,5.85,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,41,782,Anna Orenius,Kaja,,FIN,,,,5.0,36.76,5.82,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,42,6,Robin Boeykens,Kaida,,BEL,,,,5.0,36.79,5.82,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,43,255,Michel Frey,Brikk,,CHE,,,,5.0,36.81,5.81,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,44,251,Toni Smith,Febe,,GBR,,,,5.0,37.15,5.76,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,45,119,Federica Grilli,Gina,,ITA,,,,5.0,37.29,5.74,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,46,505,Kateřina Mrázková,Gwaii,,CZE,,,,5.0,37.55,5.7,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,47,169,Laurent Lakkis,Toscane,,FRA,,,,5.0,37.91,5.64,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,48,203,Lenka Sack,Theika,,CZE,,,,5.0,38.2,5.6,False,,,,
EO 2025,ind_agility_intermediate,Intermediate,Agility,False,49,738,Paulina Wrzeszcz,Beauvais,,USA,,,,5.22,39.22,5.46,False,,,,
