competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,1,,Jesus Bautista Jaime,Nissa,,ESP,0,0,,0.0,35.646,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,2,,Christiane Fischbach,Salt,,DEU,0,0,,0.0,35.95,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,3,,Ariane Wieber,Zola,,NOR,0,0,,0.0,35.998,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Anne Lenz,Itzi Bitzi,,DEU,0,0,,0.0,36.997,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Anne Lenz,Yippie,,DEU,0,1,,5.0,40.29,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Barbora Novotná,Bon Bibi Devetsil,,CZE,5.0,1,1.12,11.12,42.12,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Chris Tucci,Serengeti,,USA,5.0,2,3.82,18.82,44.82,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Euan Paterson,Crazee,,GBR,5.0,0,,5.0,35.745,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Federica Grilli,Gina,,ITA,0,2,3.285,13.285,44.285,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Gerda Zemaityte,Lee,,LTU,10.0,0,,10.0,38.322,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Kine Eimhjellen,Kos,,NOR,10.0,0,,10.0,36.308,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Lee Gibson,Star,,GBR,0,1,,5.0,39.381,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Lila Zachwatowicz,Dashee,,GBR,0,2,4.894,14.894,45.894,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Magdalena Wasiukiewicz,Dumka,,POL,0,0,,0.0,36.985,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Marita Ogilvie,Cicada,,GBR,5.0,1,0.221,10.221,41.221,,False,,,,
Border Collie Classic 2024,ind_final_intermediate_1,Intermediate,Final,False,,,Monika Rylska,Koza Nostra,,POL,10.0,0,,10.0,36.159,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,1,,Max Sprinz,Remix,,DEU,0,0,,0.0,35.941,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,2,,Zeljko Gora,Runbye Smoking Hash,,HRV,0,0,,0.0,36.162,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,3,,Max Sprinz,Style,,DEU,0,0,,0.0,36.557,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,,,Alice Laforge,Kya,,CHE,0,0,,0.0,36.817,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,,,Alice Laforge,Tesla,,CHE,0,0,,0.0,38.606,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,,,Andrea Hanouskova,Conroy Unique Forever,,CZE,0,0,,0.0,37.2,,False,,,,
Border Collie Classic 2024,ind_final_large_1,Large,Final,False,,,Cathrin Steck,Type,,DEU,10.0,0,,10.0,36.769,,False,,,,
