competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,1,423,Federica Grilli,Nangamai jelly bean (Gina),Border Collie,ITA,0,0,0.0,0.0,38.63,5.67,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,2,370,Michel Menez de Freitas,Let's Rock Ryujin Jakka Shepter (FCI),Border Collie,ESP,0,0,0.0,0.0,38.98,5.62,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,3,443,Susan Koldenhof,Infinity Light Sign Of Mindpower (Sign),Border Collie,NLD,0,0,0.0,0.0,39.34,5.57,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,4,488,Kris Seiter,TBC Naavdanya (Naavdanya),Border Collie,USA,0,0,0.0,0.0,39.35,5.57,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,5,444,Bianca van Gastel,Legends Of The Future Ffenics Rises,Border Collie,NLD,0,0,0.0,0.0,39.37,5.56,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,6,349,Petra Häusermann,Honolulu della Linea die Pensieri (Hope),Border Collie,CHE,0,0,0.0,0.0,39.47,5.55,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,7,394,Euan Paterson,Ag Ch Devongem Quick Time (Crazee),Border Collie,GBR,0,0,0.0,0.0,39.98,5.48,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,8,426,Shunji Takahashi,Aldebaran Of Baikosow Sohn R. Jp (Aru),Border Collie,JPN,0,0,0.0,0.0,40.04,5.47,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,9,366,Channie Elmestedt,Border star hall of fame (Fame),Border Collie,DNK,0,0,0.0,0.0,40.09,5.46,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,10,375,Alejandro Barrios Lianez,Ohana (Ohana),Spanish Water Dog,ESP,0,0,0.0,0.0,40.1,5.46,False,Stefanie Semkat,44.0,88.0,219.0
AWC 2025,ind_agility_intermediate,Intermediate,Agility,False,11,360,Lucie Krejčí,Freestyle Torii Bohemia Grant (Torii),Border Collie,CZE,0,0,0.0,0.0,40.24,5.44,False,Stefanie Semkat,44.0,88.0,219.0
