competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,1,520,"Burdová, Kateřina",Drive,Border Collie,CZE,0,0,0.00,0.00,39.51,5.39,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,2,534,"Sack, Lenka",Theika,Mudi,CZE,0,0,0.00,0.00,40.70,5.23,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,3,538,"Schiel, Justin",Joy,Border Collie,DEU,0,0,0.00,0.00,43.20,4.93,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,4,553,"Fischbach, Christiane",Salt,Border Collie,DEU,1,0,0.00,5.00,36.84,5.78,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,5,556,"Eiffes, Andy",Bee,Border Collie,LUX,0,1,0.00,5.00,44.04,4.84,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,6,536,"Golab, Iwona",SeeYa,Border Collie,POL,2,0,0.00,10.00,39.23,5.43,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,7,552,"Diviš, Jakub",Cis,Border Collie,CZE,1,1,0.00,10.00,44.77,4.76,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,8,532,"Fiala, Jan",Knedlee Czech,Border Collie,CZE,3,0,0.00,15.00,41.27,5.16,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,9,546,"Nowińska, Oliwia",OM,Border Collie,POL,2,1,0.00,15.00,43.93,4.85,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,10,513,"Geiger, Holger",Peaches,Border Collie,DEU,4,0,1.82,21.82,47.82,4.45,False,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,508,"Riezanova, Valentyna",Jera,Border Collie,UKR,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,523,"Kolmanová, Veronika",Vaiana,Border Collie,CZE,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,503,"Novotná, Barbora",Bibi,Border Collie,CZE,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,509,"Beshovishka, Marina",Hayami,Kelpie,BGR,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,511,"Kudyba, Marietta",Leesha,Border Collie,DEU,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,555,"Zemaityte, Gerda",Lee,Border Collie,LTU,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,545,"Michalak, Katarzyna",Mizu,Whippet,POL,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,526,"Molas Coll, Erika",Milo,Poodle,HUN,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,516,"Gschaider, Marco",Deep,Australian Shepherd,AUT,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,540,"Driessen, Patrick",Vika,Kelpie,NLD,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,551,"Heitmann, Jens",Cliff,Border Collie,AUT,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,558,"Kuko, Christina",Punky,Border Collie,DEU,,,,,,,True,Fanny Gott,,,213.0
Polish Open 2026 (IN & L),ind_agility_intermediate_1,Intermediate,Agility,False,,559,"Wieber, Ariane",Veni,Border Collie,NOR,,,,,,,True,Fanny Gott,,,213.0
