competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,1,222,Ellie Beach,Phoenix,,GBR,,,,0.0,37.3,5.74,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,1,105,Roxane Signoret,Pinkazura,,FRA,,,,0.0,39.97,4.58,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,1,243,Victoria Robert,Minnesota,,FRA,,,,0.0,56.24,2.79,False,,,,
SOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,1,131,Ivana Sipalova,Zozó,,ITA,,,,0.0,37.17,5.52,False,,,,
SOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,1,90,Francine Tavazzi,Go-Tic,,CHE,,,,0.0,34.01,6.17,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,2,321,Lyra Carlier,Raya,,BEL,,,,0.0,38.8,5.52,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,2,283,Jamielynn Thomas,Jay-Jay,,CHE,,,,0.0,43.37,4.22,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,2,72,Maxime Magnin,Pop Red,,FRA,,,,5.0,34.08,4.61,False,,,,
SOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,2,256,Alan Wildman,Flair,,GBR,,,,0.0,37.22,5.51,False,,,,
SOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,2,119,Manuel Santomé González,Toxa,,ESP,,,,0.0,35.11,5.98,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,3,360,Rowen Lyon,Nori,,USA,,,,0.0,41.52,5.15,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,3,20,Ginevra Carrossa,Leila,,ITA,,,,5.0,37.92,4.83,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,3,30,Braydon Reijerse,Force,,NLD,,,,5.0,34.71,4.52,False,,,,
SOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,3,255,Alan Wildman,Zyng,,GBR,,,,0.0,38.98,5.26,False,,,,
SOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,3,275,Steven Seale,Flec,,GBR,,,,0.0,35.79,5.87,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,4,200,Alina Neu,Kiwi,,DEU,,,,3.16,46.16,4.64,False,,,,
JOAWC 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Eliška Svobodová,Kešu,,CZE,,,,5.0,38.27,4.78,False,,,,
