competition,round_key,size,discipline,is_team_round,rank,start_no,handler,dog,breed,country,faults,refusals,time_faults,total_faults,time,speed,eliminated,judge,sct,mct,course_length
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Christa Saksa,Maisa,Border Collie,FIN,0.0,0.0,0.0,0.0,29.61,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Ann-kathrin Böckmann,Gaia,Labrador Retriever,DEU,0.0,0.0,0.0,0.0,27.03,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Ann-kathrin Böckmann,Gaia,Labrador Retriever,DEU,0.0,0.0,0.0,0.0,27.47,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Elsa Soo,Magic,Border Collie,SGP,0.0,0.0,0.0,0.0,29.31,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Annike Høysæter,Lasso⭐,Pyreneisk Gjeterhund,NOR,0.0,0.0,0.0,0.0,42.53,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Tova Svensson,Svala,Border Collie,SWE,0.0,0.0,0.0,0.0,36.0,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Pau Serrano Ciratusa,Mamba Mentality,Border Collie,ESP,1.0,0.0,0.0,5.0,37.04,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Tova Svensson,Svala,Border Collie,SWE,0.0,0.0,0.0,0.0,34.72,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Malena Johansson,Tona,Border Collie,SWE,0.0,0.0,0.0,0.0,37.91,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Ammy Sten,Sota,Border Collie,SWE,0.0,0.0,0.0,0.0,43.2,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Jenny Damm,Zonia,Border Collie,SWE,0.0,0.0,0.0,0.0,41.34,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Jenny Damm,Zonia,Border Collie,SWE,0.0,0.0,0.0,0.0,44.45,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,1,1,Sabina Håkansson,Vic,Border Collie,SWE,0.0,0.0,0.0,0.0,40.13,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Emma Thorsell,Pink,Border Collie,SWE,1.0,0.0,0.0,5.0,30.69,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Juulia Savolainen,Xero,Border Collie,FIN,0.0,1.0,0.0,5.0,30.61,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Linda Fredholm,Majken,Border Collie,SWE,1.0,0.0,0.0,5.0,27.05,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Linda Fredholm,Majken,Border Collie,SWE,0.0,0.0,0.0,0.0,29.56,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Annike Høysæter,Santxo⭐,Pyreneisk Gjeterhund,NOR,0.0,0.0,0.0,0.0,45.84,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Cecilia Klingberg,Fan,Border Collie,SWE,1.0,0.0,0.0,5.0,30.32,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Tova Svensson,Svala,Border Collie,SWE,1.0,0.0,0.0,5.0,40.56,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Linnea Vintland,Shathena s Unix,Shetland Sheepdog,NOR,0.0,0.0,0.0,0.0,42.04,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Sabina Håkansson,Vic,Border Collie,SWE,0.0,0.0,0.0,0.0,38.17,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Linda Enberg,Ciara,Border Collie,SWE,0.0,0.0,0.0,0.0,45.11,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Cecilia Klingberg,Dee,Border Collie,SWE,0.0,0.0,0.0,0.0,42.19,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Jenny Damm,Azta,Border Collie,SWE,0.0,0.0,0.0,0.0,45.31,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,2,1,Jenny Damm,Zonia,Border Collie,SWE,0.0,0.0,0.0,0.0,40.88,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Elin Dahl Mikkelsen,Pi,Shetland Sheepdog,NOR,1.0,0.0,0.0,5.0,33.72,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Elsa Soo,Magic,Border Collie,SGP,0.0,1.0,0.0,5.0,30.84,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Juulia Savolainen,Xero,Border Collie,FIN,1.0,0.0,0.0,5.0,28.49,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Trine Thorkildsen,Beanie 🫘,Border Collie,NOR,0.0,0.0,0.0,0.0,31.28,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Diana Hanno,Yuca,Border Collie,DEU,2.0,0.0,0.0,10.0,40.19,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Felicia Orre,Aston,Miniature American Shepherd,SWE,1.0,0.0,0.0,5.0,34.11,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Sanna Rautio,Maybe,Border Collie,FIN,0.0,1.0,0.0,5.0,43.56,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Felicia Orre,Aston,Miniature American Shepherd,SWE,1.0,0.0,0.0,5.0,33.09,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Jenny Damm,Zonia,Border Collie,SWE,0.0,0.0,0.0,0.0,38.81,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Rebecca Wilson,Floyd,Australian Kelpie,SWE,0.0,0.0,0.0,0.0,48.41,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Jemina Sakomaa,Emma,Border Collie,FIN,0.0,0.0,0.0,0.0,42.71,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Alma Bergqvist,Duffy,Border Collie,SWE,0.0,0.0,0.0,0.0,45.9,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,3,1,Elin Nilsson,Bee,Border Collie,SWE,0.0,0.0,0.0,0.0,46.13,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Ann-kathrin Böckmann,Gaia,Labrador Retriever,DEU,0.0,2.0,0.0,10.0,33.84,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Tiina Sköönilä,Flash,Border Collie,FIN,1.0,1.0,0.0,10.0,31.84,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Emma Thorsell,Pink,Border Collie,SWE,1.0,0.0,0.0,5.0,31.4,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Siw Hornli Espeland,Jawa ‍,Border Collie,NOR,0.0,0.0,0.0,0.0,32.19,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Laura Rose Cole,Lad,Border Collie,USA,0.0,2.0,0.0,10.0,45.65,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Diana Hanno,Yuca,Border Collie,DEU,1.0,0.0,0.0,5.0,37.27,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Heidi Sjøfn Ånerud,Missy Mists Enya,Border Collie,NOR,0.0,1.0,0.0,5.0,46.09,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Silje Tellnes Kvammen,Emenems Hurricane Noisy,Border Collie,NOR,0.0,1.0,0.0,5.0,36.94,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Andy Eiffes,Bee,Border Collie,LUX,0.0,0.0,0.0,0.0,39.04,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Alma Bergqvist,Duffy,Border Collie,SWE,1.0,0.0,0.0,5.0,45.37,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Ammy Sten,Sota,Border Collie,SWE,0.0,0.0,0.0,0.0,43.44,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Rebecca Wilson,Quin,Border Collie,SWE,0.0,0.0,0.0,0.0,46.87,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,4,1,Tonje Skistad,Huffy,Border Collie,NOR,0.0,0.0,0.0,0.0,47.04,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Elsa Soo,Magic,Border Collie,SGP,1.0,1.0,0.0,10.0,34.85,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Iver Storvik,Bonita,Border Collie,NOR,2.0,0.0,0.0,10.0,34.89,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Iver Storvik,Bonita,Border Collie,NOR,1.0,0.0,0.0,5.0,33.79,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Christa Saksa,Maisa,Border Collie,FIN,1.0,0.0,0.0,5.0,31.32,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Linnea Vintland,Shathena s Unix,Shetland Sheepdog,NOR,2.0,1.0,0.0,15.0,47.52,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Sanna Rautio,Maybe,Border Collie,FIN,0.0,1.0,0.0,5.0,41.11,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Felicia Orre,Aston,Miniature American Shepherd,SWE,1.0,1.0,0.0,10.0,39.26,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Laura Rose Cole,Lad,Border Collie,USA,1.0,0.0,0.0,5.0,38.77,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Ammy Sten,Sota,Border Collie,SWE,0.0,0.0,0.0,0.0,40.95,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Veronika Vasseng,Exi,Border Collie,NOR,1.0,0.0,0.0,5.0,47.01,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Rebecca Wilson,Quin,Border Collie,SWE,0.0,0.0,0.0,0.0,44.2,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Rita Larjava,Best,Border Collie,FIN,0.0,0.0,0.0,0.0,47.88,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,5,1,Rebecca Wilson,Floyd,Australian Kelpie,SWE,0.0,0.0,0.0,0.0,47.82,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Siw Hornli Espeland,Jawa ‍,Border Collie,NOR,1.0,1.0,0.0,10.0,36.61,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Kari Mette Bergendahl,Abby,Border Collie,NOR,3.0,2.0,0.0,25.0,35.41,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Øyan Rognås Meisdalen,Ellie,Labrador Retriever,NOR,1.0,0.0,0.0,5.0,36.9,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Elin Carlsson,Mill,Border Collie,SWE,1.0,0.0,0.0,5.0,31.45,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Suran Kim,Reese,Border Collie,,1.0,1.0,0.0,10.0,31.44,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Christianne Simson,Fajta,Kroatisk Gjeterhund,SWE,1.0,1.0,0.0,10.0,44.5,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Bianca Rothmann,Hei Hei,Australian Kelpie,DNK,1.0,1.0,0.0,10.0,33.86,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Elsa Soo,Venus,Border Collie,SGP,0.0,0.0,0.0,0.0,43.2,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Monica Irene Iversen,Abby,Border Collie,NOR,1.0,0.0,0.0,5.0,51.77,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Vilde Wigen Monteiro,Aya,Border Collie,NOR,0.0,0.0,0.0,0.0,44.43,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,My Dareflod,Neo,Border Collie,SWE,0.0,0.0,0.0,0.0,50.39,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,6,1,Rebecca Wilson,Quin,Border Collie,SWE,1.0,0.0,0.0,5.0,44.1,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Linn Kristin Bær,Áimi,Border Collie,NOR,1.0,1.0,0.0,10.0,44.68,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Tiina Sköönilä,Flash,Border Collie,FIN,2.0,0.0,0.0,10.0,29.05,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Trine Hallum,Kipling,Shetland Sheepdog,NOR,1.0,0.0,0.0,5.0,39.73,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Ana Justesen,Viva,Border Collie,DNK,2.0,0.0,0.0,10.0,32.53,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Laura Rose Cole,Lad,Border Collie,USA,3.0,0.0,2.26,17.259999999999998,56.26,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Diana Hanno,Yuca,Border Collie,DEU,1.0,1.0,0.0,10.0,38.75,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Tonje Skistad,Huffy,Border Collie,NOR,0.0,0.0,0.0,0.0,44.12,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Sabina Håkansson,Vic,Border Collie,SWE,1.0,1.0,0.0,10.0,44.97,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Rebecca Wilson,Floyd,Australian Kelpie,SWE,0.0,0.0,0.0,0.0,48.0,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Monica Irene Iversen,LL`Giller,Border Collie,NOR,0.0,0.0,0.0,0.0,50.51,,False,,,,
Norwegian Open 2025,ind_agility_intermediate,Intermediate,Agility,False,7,1,Suran Kim,LUCA,Border Collie,,1.0,0.0,0.0,5.0,47.87,,False,,,,
